Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,HHI.1991,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Claims,CivilianCasualty,Partition,HHI.2013,TimedHHI,Net_Displacement,Gross_Displacement
Travnik,2010,71.75712971,1.854495597,0.617612744,0.382933613,0.413380469,0.309691859,0.35371418,125.660746,19013.61188,28.96654275,839.0605989,2.137193097,0.042404625,4.47934188,0.182339887,0,0.52512786,0.625296122,-2.999380444,10.02952003
Travnik,2014,79.91009361,1.854495597,0.617612744,0.382933613,0.413380469,0.309691859,0.35371418,125.660746,19013.61188,28.96654275,839.0605989,2.137193097,0.042404625,4.47934188,0.182339887,0,0.52512786,0.491738439,-3.022845809,10.10798502
Zenica,2006,71.03938757,1.005380815,0.00536639,0.465357405,0.465240256,0.154425709,0.365208352,288.1524752,21610.10741,30.14827821,908.9186789,1.563391219,0.109952789,4.241428836,0.118886453,0,0.714794052,0.702723099,-0.60876464,4.240929407
Zenica,2010,55.10001527,1.005380815,0.00536639,0.465357405,0.465240256,0.154425709,0.365208352,288.1524752,21610.10741,30.14827821,908.9186789,1.563391219,0.109952789,4.241428836,0.118886453,0,0.714794052,0.709620786,-0.609741706,4.247736088
Zenica,2014,70.10779353,1.005380815,0.00536639,0.465357405,0.465240256,0.154425709,0.365208352,288.1524752,21610.10741,30.14827821,908.9186789,1.563391219,0.109952789,4.241428836,0.118886453,0,0.714794052,0.716518474,-0.610072894,4.250043296
Kakanj,2006,74.81597145,1.015192136,0.015077891,0.482026713,0.457820719,0.248232023,0.395728845,148.4084881,21620.64343,28.39190349,806.1001835,3.009830206,0.053619303,2.439678284,0.101876676,0,0.754441552,0.742836069,-3.770454022,6.697395713
Kakanj,2010,66.32941051,1.015192136,0.015077891,0.482026713,0.457820719,0.248232023,0.395728845,148.4084881,21620.64343,28.39190349,806.1001835,3.009830206,0.053619303,2.439678284,0.101876676,0,0.754441552,0.749467774,-3.778290993,6.711316397
Kakanj,2014,76.0170108,1.015192136,0.015077891,0.482026713,0.457820719,0.248232023,0.395728845,148.4084881,21620.64343,28.39190349,806.1001835,3.009830206,0.053619303,2.439678284,0.101876676,0,0.754441552,0.756099478,-3.798820415,6.747782473
Vares,2006,68.26813086,1.607890826,0.474923274,0.25374758,0.361817889,0.336429609,0.293136402,56.93076923,15593.34324,32.52378057,1057.796303,3.161734901,0.225194793,4.611989371,0.382831149,0,0.477867463,0.504701074,-14.95585481,25.96093819
Vares,2010,65.82787059,1.607890826,0.474923274,0.25374758,0.361817889,0.336429609,0.293136402,56.93076923,15593.34324,32.52378057,1057.796303,3.161734901,0.225194793,4.611989371,0.382831149,0,0.477867463,0.489367582,-15.88971006,27.58195944
Vares,2014,74.94112106,1.607890826,0.474923274,0.25374758,0.361817889,0.336429609,0.293136402,56.93076923,15593.34324,32.52378057,1057.796303,3.161734901,0.225194793,4.611989371,0.382831149,0,0.477867463,0.47403409,-16.97883973,29.47251189
Olovo,2006,70.37990985,1.669025714,0.512240051,0.636297878,0.714719808,0.163125067,0.598151156,41.55882353,19575.43053,29.90991389,894.6029492,1.645435244,0.058976174,2.653927813,0.353857042,0,0.909759938,0.938854511,-5.293979855,18.55235418
Olovo,2010,70.68518519,1.669025714,0.512240051,0.636297878,0.714719808,0.163125067,0.598151156,41.55882353,19575.43053,29.90991389,894.6029492,1.645435244,0.058976174,2.653927813,0.353857042,0,0.909759938,0.922229041,-5.551461557,19.45467944
